erp_2015, lga_name, lga_code_2019
126088,Banyule (C),20660
32576,Bass Coast (S),20740
47837,Baw Baw (S),20830
92298,Cardinia (S),21450
299528,Casey (C),21610
151974,Darebin (C),21890
101268,Bayside (C),20910
174753,Boroondara (C),21110
200860,Brimbank (C),21180
137790,Frankston (C),22170
145924,Glen Eira (C),22310
156061,Greater Dandenong (C),22670
232926,Greater Geelong (C),22750
15334,Hepburn (S),22910
91674,Hobsons Bay (C),23110
198176,Hume (C),23270
156244,Kingston (C),23430
158700,Knox (C),23670
46373,Macedon Ranges (S),24130
120785,Manningham (C),24210
8530,Mansfield (S),24250
84783,Maribyrnong (C),24330
31748,Moorabool (S),25150
167870,Moreland (C),25250
113023,Maroondah (C),24410
158831,Mornington Peninsula (S),25340
18794,Mount Alexander (S),25430
13848,Murrindindi (S),25620
63675,Nillumbik (S),25710
166679,Whitehorse (C),26980
136872,Melbourne (C),24600
134915,Melton (C),24650
40264,Mitchell (S),24850
189174,Monash (C),24970
120231,Moonee Valley (C),25060
106381,Port Phillip (C),25900
2933,Queenscliffe (B),26080
28781,South Gippsland (S),26170
108028,Stonnington (C),26350
29625,Surf Coast (S),26490
196847,Whittlesea (C),27070
213815,Wyndham (C),27260
89923,Yarra (C),27350
153391,Yarra Ranges (S),27450
862,Unincorporated Vic,29399
