median_household_income_aud, ppl_reporting_high_blood_pressure_rank, ppl_reporting_heart_disease_perc, ppl_reporting_heart_disease_rank, ppl_not_meet_phys_activity_glines_rank, males_reporting_fair_or_poor_hlth_status_perc, females_reporting_fair_or_poor_hlth_status_perc, ppl_reporting_being_obese_perc, travel_time_to_melbourne_minutes, ppl_reporting_type_2_diabetes_perc, distance_to_melbourne_km, id, ppl_reporting_high_blood_pressure_perc, remoteness_area, lga_code, lga_name, ppl_reporting_type_2_diabetes_rank, ppl_reporting_fair_or_poor_hlth_status_perc, ppl_not_meet_phys_activity_glines_perc, commercial_land_use_perc, ppl_reporting_being_pre_obese_perc
829.0,67,6.8,43,37,20.8,15.6,13.5,201.0,5.0,286.0,1,21.8,"Outer Regional Australia",20110,"Alpine (S)",35,19.3,54.6,0.0,30.2
844.0,44,5.7,66,50,14.9,12.8,22.3,143.0,3.6,200.0,2,25.9,"Outer Regional Australia",20260,"Ararat (RC)",67,14.4,52.4,0.0,36.6
988.0,6,8.1,17,24,11.4,13.2,25.8,76.0,3.9,115.0,3,31.9,"Inner Regional Australia",20570,"Ballarat (C)",61,12.3,56.2,0.3,34.7
1394.0,49,6.8,44,23,21.7,12.7,19.8,25.0,3.6,23.0,4,24.3,"Major Cities of Australia",20660,"Banyule (C)",66,16.7,56.7,1.1,29.5
855.0,43,7.0,38,29,18.2,16.8,18.7,111.0,5.1,130.0,5,25.9,"Inner Regional Australia",20740,"Bass Coast (S)",32,17.7,55.2,0.1,27.9
1025.0,25,6.6,50,62,11.5,14.5,14.8,74.0,4.1,102.0,6,28.4,"Inner Regional Australia",20830,"Baw Baw (S)",56,12.9,50.6,0.0,37.9
1826.0,71,5.3,74,72,12.8,6.5,11.9,15.0,2.8,12.0,7,20.6,"Major Cities of Australia",20910,"Bayside (C)",76,8.5,46.7,3.3,30.4
827.0,14,6.3,57,5,11.5,8.2,26.9,136.0,5.1,199.0,8,29.1,"Inner Regional Australia",21010,"Benalla (RC)",30,9.8,60.5,0.0,28.0
1893.0,72,4.8,76,75,7.7,12.9,12.5,13.0,3.2,12.0,9,20.4,"Major Cities of Australia",21110,"Boroondara (C)",71,10.3,43.7,3.2,24.3
1106.0,38,6.2,60,7,22.9,24.4,19.6,19.0,4.0,19.0,10,27.0,"Major Cities of Australia",21180,"Brimbank (C)",59,23.8,59.1,1.7,28.5
742.0,5,7.7,25,59,30.1,12.8,21.9,205.0,5.9,278.0,11,32.1,"Outer Regional Australia",21270,"Buloke (S)",20,21.6,50.8,0.0,34.2
886.0,2,6.5,52,28,19.5,9.3,32.3,178.0,4.8,208.0,12,36.8,"Inner Regional Australia",21370,"Campaspe (S)",40,15.0,55.2,0.0,30.0
1303.0,58,6.8,45,45,14.1,12.3,24.9,45.0,4.2,58.0,13,23.4,"Inner Regional Australia",21450,"Cardinia (S)",54,12.9,54.0,0.1,28.7
1342.0,37,10.1,1,34,13.8,20.6,25.2,36.0,5.8,46.0,14,27.0,"Major Cities of Australia",21610,"Casey (C)",21,17.3,55.0,0.7,29.1
685.0,3,7.5,28,53,22.0,14.5,23.6,124.0,6.1,169.0,15,34.4,"Inner Regional Australia",21670,"Central Goldfields (S)",13,18.0,52.0,0.0,25.8
914.0,31,7.9,21,46,8.5,9.5,19.9,116.0,5.0,149.0,16,27.7,"Inner Regional Australia",21750,"Colac-Otway (S)",37,9.3,53.7,0.0,35.3
909.0,17,9.5,4,11,13.9,14.6,27.5,153.0,4.4,191.0,17,28.8,"Outer Regional Australia",21830,"Corangamite (S)",47,14.3,58.4,0.0,36.6
1178.0,41,6.6,49,13,21.3,20.6,19.3,17.0,6.2,14.0,18,26.4,"Major Cities of Australia",21890,"Darebin (C)",11,20.8,58.0,2.7,30.1
798.0,53,9.0,7,78,22.1,13.4,22.5,211.0,3.8,275.0,19,23.8,"Outer Regional Australia",22110,"East Gippsland (S)",63,17.9,41.3,0.0,31.9
1140.0,22,7.6,27,31,10.3,17.2,19.9,40.0,6.3,42.0,20,28.6,"Major Cities of Australia",22170,"Frankston (C)",9,13.9,55.2,1.3,34.1
764.0,24,8.7,11,41,14.6,15.2,14.8,206.0,4.9,279.0,21,28.4,"Outer Regional Australia",22250,"Gannawarra (S)",38,14.9,54.4,0.0,25.2
1445.0,61,6.5,51,42,10.7,8.9,14.9,21.0,3.7,17.0,22,22.9,"Major Cities of Australia",22310,"Glen Eira (C)",65,9.6,54.2,3.3,30.0
899.0,18,7.2,34,21,18.7,11.3,28.6,298.0,6.0,355.0,23,28.8,"Outer Regional Australia",22410,"Glenelg (S)",15,14.7,56.8,0.0,28.5
1217.0,55,7.8,24,40,17.3,12.6,22.0,64.0,4.1,86.0,24,23.6,"Inner Regional Australia",22490,"Golden Plains (S)",57,14.9,54.4,0.0,27.3
991.0,36,6.1,62,36,17.5,15.4,26.6,92.0,4.7,145.0,25,27.1,"Inner Regional Australia",22620,"Greater Bendigo (C)",42,17.2,54.6,0.1,26.8
