p80_to_p20_ratio, median_aud, highest_quartile_pc, income_aud, income_share_top_5pc, median_age_of_earners_years, lga_code_2016, third_quartile_pc, earners_persons, lowest_quartile_pc, mean_aud, p20_to_p50_ratio, income_share_top_1pc, p10_to_p50_ratio, gini_coefficient_no, second_quartile_pc, income_share_top_10pc, lga_name16, p80_to_p50_ratio
6.1,31107,14.1,249752070,19.1,49,"20110",23.0,6719,33.5,37171,0.31,6.4,0.11,0.486,29.5,30.6,"Alpine (S)",1.88
6.27,34357,15.1,240915447,20.9,46,"20260",25.3,6043,31.6,39867,0.29,9.2,0.1,0.498,28.0,31.8,"Ararat (RC)",1.79
4.94,38574,20.0,2267099713,19.6,42,"20570",27.2,49501,26.1,45799,0.36,7.6,0.15,0.45,26.7,30.1,"Ballarat (C)",1.77
5.23,44072,28.8,3847895093,21.8,42,"20660",24.6,68777,23.5,55947,0.36,8.8,0.15,0.474,23.1,32.7,"Banyule (C)",1.86
5.78,32355,16.4,620192137,21.3,47,"20740",21.7,15177,30.9,40864,0.33,7.1,0.14,0.494,31.0,33.1,"Bass Coast (S)",1.91
5.5,36939,20.6,1063803892,19.3,45,"20830",24.4,23749,27.8,44794,0.34,6.5,0.14,0.468,27.1,30.5,"Baw Baw (S)",1.88
7.03,49640,38.4,4773608587,31.9,47,"20910",18.4,56236,22.9,84885,0.32,14.0,0.14,0.585,20.3,44.2,"Bayside (C)",2.28
5.6,34378,16.0,298048699,17.9,48,"21010",25.3,7549,30.7,39482,0.32,6.1,0.11,0.461,28.1,28.8,"Benalla (RC)",1.8
7.07,49342,37.7,8329086964,31.7,44,"21110",19.1,100533,23.4,82849,0.32,13.9,0.14,0.583,19.8,44.1,"Boroondara (C)",2.23
4.35,38289,17.2,3877166712,16.0,38,"21180",29.4,90774,25.3,42712,0.39,5.1,0.18,0.408,28.1,26.4,"Brimbank (C)",1.68
6.87,32335,16.5,143665320,19.7,49,"21270",23.0,3616,33.8,39730,0.28,6.0,0.11,0.495,26.6,31.5,"Buloke (S)",1.95
5.9,33419,15.3,762795480,18.1,45,"21370",24.8,19794,30.9,38537,0.31,6.2,0.11,0.471,28.9,29.2,"Campaspe (S)",1.83
4.39,40640,21.3,1914934868,18.3,40,"21450",28.5,40629,23.3,47132,0.39,6.8,0.18,0.43,26.8,28.6,"Cardinia (S)",1.73
3.96,41153,19.7,6275439483,17.6,40,"21610",30.8,134482,22.1,46664,0.42,6.6,0.2,0.409,27.4,27.6,"Casey (C)",1.65
5.76,30358,11.0,195887146,18.4,47,"21670",24.6,5580,33.9,35105,0.31,6.4,0.11,0.464,30.5,29.6,"Central Goldfields (S)",1.76
5.67,34368,15.5,479528712,18.6,45,"21750",26.0,12082,30.7,39690,0.32,6.4,0.12,0.465,27.9,29.5,"Colac-Otway (S)",1.79
5.88,34742,17.8,373884517,18.9,47,"21830",24.6,9174,29.9,40755,0.32,6.1,0.11,0.487,27.6,30.3,"Corangamite (S)",1.86
4.78,41385,24.5,3623536464,19.2,38,"21890",26.2,71900,23.8,50397,0.38,6.9,0.18,0.445,25.4,30.1,"Darebin (C)",1.82
5.93,31769,14.5,869371763,20.7,49,"22110",23.1,22362,32.4,38877,0.31,7.7,0.11,0.485,30.0,32.0,"East Gippsland (S)",1.86
4.29,40235,20.0,3153072276,17.1,41,"22170",29.2,68823,23.4,45814,0.4,5.7,0.18,0.417,27.3,27.5,"Frankston (C)",1.7
7.03,29466,12.0,197075301,19.7,48,"22250",22.8,5685,35.6,34666,0.26,6.8,0.08,0.506,29.7,31.4,"Gannawarra (S)",1.85
5.15,35442,16.0,1371710030,19.3,43,"22830",26.4,33310,29.0,41180,0.34,7.5,0.14,0.464,28.5,30.0,"Greater Shepparton (C)",1.76
5.88,32720,16.1,305928167,21.5,48,"22910",23.8,7458,31.9,41020,0.32,8.9,0.12,0.493,28.1,32.6,"Hepburn (S)",1.9
6.21,36565,20.4,142809295,21.3,49,"22980",23.4,3133,27.5,45582,0.31,7.6,0.1,0.496,28.7,32.9,"Hindmarsh (S)",1.9
4.69,44515,27.7,2489739375,19.6,41,"23110",26.5,45871,22.0,54277,0.38,7.3,0.18,0.448,23.7,30.5,"Hobsons Bay (C)",1.8
5.11,37099,18.2,479221274,18.0,45,"23190",26.5,11197,27.1,42799,0.35,6.0,0.13,0.452,28.2,29.0,"Horsham (RC)",1.77
4.22,40000,19.7,3688050023,16.3,39,"23270",29.2,81625,23.3,45183,0.4,5.3,0.19,0.407,27.8,26.7,"Hume (C)",1.7
5.35,37885,20.8,388109063,17.7,47,"23350",26.1,8769,26.8,44259,0.34,6.0,0.12,0.452,26.3,28.5,"Indigo (S)",1.83
4.81,42174,25.3,4220691778,19.4,42,"23430",26.4,82446,23.5,51193,0.38,7.1,0.17,0.449,24.9,30.3,"Kingston (C) (Vic.)",1.81
4.65,41567,23.2,4286156225,17.6,42,"23670",27.7,88494,23.6,48434,0.38,5.8,0.17,0.431,25.5,28.3,"Knox (C)",1.76
5.75,39812,26.0,1864436588,18.4,42,"23810",23.0,37030,26.0,50349,0.35,5.9,0.14,0.465,25.1,30.3,"Latrobe (C) (Vic.)",2.0
8.76,28131,12.7,126770028,20.4,50,"23940",20.7,3730,36.9,33987,0.22,6.9,0.05,0.545,29.6,32.8,"Loddon (S)",1.95
5.4,41518,27.0,1274059355,21.5,45,"24130",23.9,23985,25.1,53119,0.36,8.6,0.15,0.481,24.0,32.6,"Macedon Ranges (S)",1.93
6.29,39900,28.0,3873436203,25.3,46,"24210",21.1,67738,27.1,57183,0.33,10.4,0.13,0.527,23.8,37.2,"Manningham (C)",2.07
6.39,30312,14.7,171557864,21.1,49,"24250",22.8,4476,33.9,38328,0.3,7.3,0.11,0.501,28.5,32.6,"Mansfield (S)",1.94
4.64,42387,25.2,1939891742,17.6,36,"24330",26.8,38673,23.0,50161,0.39,5.8,0.19,0.429,25.0,28.4,"Maribyrnong (C)",1.79
4.81,41694,24.3,2954330305,17.9,42,"24410",26.7,60064,23.9,49186,0.37,6.0,0.16,0.436,25.1,28.7,"Maroondah (C)",1.8
5.97,44649,30.8,3662877352,31.3,31,"24600",22.9,54361,25.1,67381,0.33,16.5,0.15,0.556,21.2,42.1,"Melbourne (C)",1.95
3.86,43473,22.2,2678678534,15.1,38,"24650",31.4,56380,20.7,47511,0.42,4.8,0.21,0.387,25.6,25.1,"Melton (C)",1.63
5.51,34644,15.5,1069613608,18.7,43,"24780",25.9,26772,29.7,39953,0.32,6.5,0.13,0.465,28.9,29.7,"Mildura (RC)",1.78
4.39,40175,20.8,831321047,17.1,42,"24850",28.4,18061,23.7,46029,0.39,5.9,0.18,0.421,27.1,27.5,"Mitchell (S)",1.72
6.38,31731,14.0,546794479,19.2,46,"24900",24.1,14674,32.6,37263,0.29,7.3,0.09,0.492,29.2,30.4,"Moira (S)",1.86
6.17,38414,24.6,4831810839,21.0,42,"24970",22.8,97090,28.2,49766,0.32,7.6,0.13,0.488,24.4,32.7,"Monash (C)",1.99
5.04,45855,30.5,3622467772,21.5,41,"25060",24.7,62024,22.3,58404,0.37,8.2,0.17,0.469,22.5,32.6,"Moonee Valley (C)",1.85
5.04,40961,24.1,731829012,17.6,43,"25150",26.2,15247,24.7,47998,0.36,6.0,0.16,0.44,25.1,28.4,"Moorabool (S)",1.82
4.74,41513,24.6,3876512407,17.7,37,"25250",26.3,78786,23.7,49203,0.38,5.8,0.18,0.433,25.4,28.5,"Moreland (C)",1.8
5.72,36826,22.3,3968954664,23.7,46,"25340",22.8,80821,28.0,49108,0.35,9.9,0.14,0.503,26.9,34.9,"Mornington Peninsula (S)",1.98
