lga_name,percentage_obese,lga_area_km2,distance_to_melbourne_km
Banyule (C),19.8,63.0,23.0
Bayside (C),11.9,37.0,12.0
Boroondara (C),12.5,60.0,12.0
Brimbank (C),19.6,123.0,19.0
Cardinia (S),24.9,1282.0,58.0
Casey (C),25.2,409.0,46.0
Darebin (C),19.3,53.0,14.0
Frankston (C),19.9,130.0,42.0
Glen Eira (C),14.9,39.0,17.0
Greater Dandenong (C),16.8,130.0,28.0
Hobsons Bay (C),21.3,64.0,22.0
Hume (C),26.3,504.0,40.0
Kingston (C),18.6,91.0,20.0
Knox (C),18.2,114.0,31.0
Manningham (C),13.9,113.0,21.0
Maribyrnong (C),11.9,31.0,9.0
Maroondah (C),16.7,61.0,33.0
Melbourne (C),8.2,37.0,2.0
Melton (C),27.2,527.0,43.0
Monash (C),14.4,81.0,23.0
Moonee Valley (C),15.7,43.0,9.0
Moreland (C),18.0,51.0,8.0
Mornington Peninsula (S),17.3,724.0,54.0
Nillumbik (S),16.5,432.0,25.0
Port Phillip (C),8.2,21.0,6.0
Stonnington (C),9.8,26.0,13.0
Whitehorse (C),14.7,64.0,26.0
Whittlesea (C),24.1,490.0,28.0
Wyndham (C),25.1,542.0,31.0
Yarra (C),12.1,20.0,4.0
Yarra Ranges (S),16.4,2465.0,37.0
